D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
30-Dec-21,101N,6115,,Nuit,,2202N,3,09-Dec-22,,
08-Jan-22,2101,770N,,Nuit,,922760156,4,19-Oct-22,,
07-Jan-22,3274,358N,,Nuit,,8679,4,22-Jun-22,,
10-Jan-22,770J,8737,,Jour,,10467,5,05-Apr-22,,
10-Jan-22,223N,1163N,,Nuit,,10467,1,05-Apr-22,,
12-Jan-22,3548,6088,,Nuit,,2289N,1,22-Dec-22,,
10-Jan-22,760N,922761290,,Nuit,,530J,4,17-Jan-22,,
12-Jan-22,4189,922761289,,Jour,,,6,05-Feb-22,,
13-Jan-22,4790,922761288,,Jour,,,,02-Mar-22,,
12-Jan-22,887N,671N,,Nuit,,,,22-Aug-22,,
08-Jan-22,71J,922761287,,Jour,,922760145,3,10-Jul-22,,
06-Jan-22,4777,10202,,Nuit,,,2,02-Mar-22,,
08-Jan-22,4784,922761286,,Jour,,,,18-Mar-22,,
24-Dec-21,684N,201327493,,Nuit,,6806,4,21-Mar-22,,
13-Jan-22,4144,2067N,,Nuit,,,,21-Jan-22,,
13-Jan-22,4144,2067N,,Nuit,,,,20-Feb-22,,
01-Jan-22,3700,922761285,,Nuit,,,,20-Jan-22,,
09-Jan-22,2933,7530,,Nuit,,922760586,2,28-Aug-22,,
11-Jan-22,4787,922760000,,Jour,,,6,20-Feb-22,,
13-Jan-22,4617,922761043,,Nuit,,,,12-Feb-22,,
13-Jan-22,4379,1193N,,Nuit,,922759877,2,06-Jun-22,,
08-Jan-22,4617,2067N,,Nuit,,,,14-Feb-22,,
06-Jan-22,4144,5232,,Nuit,,6395,4,,,
11-Jan-22,3444,9753,,Nuit,,922761278,7,08-May-22,,
14-Jan-22,2729,5277,,Nuit,,2289N,3,30-Jan-22,,
02-Jan-22,324J,886J,,Jour,,,,19-Mar-22,,
12-Jan-22,4378,10197,,Nuit,,922760848,2,08-Feb-22,,
