D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
01-Jul-15,919N,1014N,,Nuit,,147J,1,31-Jul-16,,
,919N,2096N,,Nuit,,1625N,4,28-Nov-14,,
11-Oct-15,91J,1091J,,Jour,,5191,7,13-Nov-16,,
,91N,1033N,,Nuit,,410N,4,26-Jan-15,,
19-Sep-15,91N,,,Nuit,,410N,3,22-Sep-15,,
,920J,,,Jour,,,,03-Feb-16,,7
,920N,954N,,Nuit,,2332N,3,08-Feb-17,,
,921J,2000J,,Jour,,4621,6,10-Nov-14,,
,921N,1205N,,Nuit,,1500N,1,03-Nov-14,,
,921N,439N,,Nuit,,734N,5,06-Jan-15,,
20-Aug-15,922J,1008N,,Jour,,6014,6,31-Oct-15,,
30-Jul-15,922N,4472,,Nuit,,5135,1,25-Jan-16,,
24-Jan-16,923J,0,,Jour,,,,24-Jan-16,1927J,6
,923N,872N,,Nuit,,109N,1,14-Dec-14,,
03-Feb-16,924J,,,Jour,,1774N,6,04-Apr-16,,7
08-Oct-15,924N,5893,,Nuit,,6084,2,10-May-17,,
29-Jun-15,924N,843N,,Nuit,,1502N,3,03-Jul-15,,
15-Nov-15,925J,315J,,Jour,,1760N,1,14-Feb-16,,
,925N,114N,,Nuit,,1857N,1,30-Sep-15,,
,926J,2067N,,Jour,,,6,22-Aug-16,,7
,926N,661N,,Nuit,,5185,5,17-Mar-16,,
05-Oct-15,926N,6287,,Nuit,,6695,1,08-May-16,,
12-Jan-16,927N,961N,,Nuit,,206N,4,04-Aug-16,,
14-Jan-16,927N,6217,,Nuit,,206N,3,04-Aug-16,,
23-Jul-15,928J,5024,,Jour,,1978J,1,09-Feb-16,,
05-Aug-15,928N,6099,,Nuit,,1335J,1,22-Feb-16,,
,929J,498J,,Jour,,J,,07-Sep-14,,
,929J,762J,,Jour,,J,6,10-Oct-14,,
31-Aug-15,929N,1245N,,Nuit,,5601,4,10-Mar-16,,
30-Jun-15,92J,1141J,,Jour,,4503,6,04-Apr-16,,
,92N,380N,,Nuit,,1518N,3,31-Oct-14,,
,930J,,,Jour,,J,,18-Sep-14,2003,7
,930N,1342N,,Nuit,,1851N,4,31-Aug-14,,
26-Jan-16,931J,0,,Jour,,905N,1,01-Feb-16,5384,6
16-Nov-14,931N,1395N,,Nuit,,2330N,3,17-Nov-14,,
,931N,499N,,Nuit,,2140N,1,21-Mar-16,,
06-Mar-16,932J,6349,,Nuit,,J,,10-May-16,1942,
15-Nov-14,932N,1746N,,Nuit,,223N,4,16-Nov-14,,
,933J,J,,Jour,,J,,03-Feb-16,1454,7
10-May-15,933N,5761,,Nuit,,2337N,4,22-Feb-16,,
03-Feb-16,934J,0,,Jour,,1933J,6,21-Nov-17,1933J,7
,934N,1970N,,Nuit,,1516N,2,06-Dec-14,,
31-Aug-15,935N,1114N,,Nuit,,854N,3,21-Aug-16,,
31-Dec-15,935N,6625,,Nuit,,854N,4,28-Feb-16,,
,936N,366N,,Nuit,,2326N,3,21-Aug-14,,
,937N,2008N,,Nuit,,1506N,2,28-Aug-14,,
,938N,440N,,Nuit,,,2,02-Feb-16,,
,939N,1149N,,Nuit,,6665,3,27-Jan-16,,
,939N,384N,,Nuit,,,4,28-Jan-16,,
15-Dec-15,93J,6593,,Jour,,,7,15-Jan-17,,
20-Aug-15,93J,5606,,Jour,,1070N,6,06-Feb-16,,
,93N,357N,,Nuit,,1687N,2,18-Aug-14,,
10-Jul-15,940N,297N,,Nuit,,5133,4,06-Mar-16,,
,942N,2038N,,Nuit,,498N,1,15-Aug-14,,
,942N,635N,,Nuit,,498N,2,06-Aug-14,,
,943N,1292N,,Nuit,,79N,1,11-Feb-15,,
,943N,648N,,Nuit,,1910N,3,25-Mar-15,,
,944N,1955N,,Nuit,,1742J,1,04-Dec-16,,
27-Apr-15,945N,726N,,Nuit,,2248N,1,13-Mar-16,,
,946N,1302N,,Nuit,,4676,5,01-Feb-15,,
,947N,592N,,Nuit,,2143N,5,22-Aug-14,,
,948N,336N,,Nuit,,2231N,2,25-Oct-14,,
,948N,583N,,Nuit,,2231N,3,04-Oct-14,,
,949N,647N,,Nuit,,6116,5,13-Mar-16,,
,94J,1099J,,Jour,,55J,7,01-Aug-14,,
,94N,123N,,Nuit,,5003,2,30-Jan-15,,
,94N,95N,,Nuit,,1339J,3,30-Jan-15,,
,950N,2102N,,Nuit,,31N,2,09-Sep-14,,
